context,response
i dont know what the real problem is but to help you could add that command to sessions systempreferencessessions,then you dont have to run it yourself gnome will do it for you
could anyone tell me the command to copy a file from one place to another,cp myfile newlocation
can we update from karmic to lucid through the iso,the alt install cd usually has a cd upgrade script on it
is there a master list for the warty universe,master list
what program do i use to sync my ipod touch in ubuntu,sudo aptget install gtkpod
you scare me guys,it is natural to be scared p
well generally its mount devthisdevice mediathis folder with some options depending on what file system is on media,you can make it automount every time it is plugged in like that
what would you recommend should i format my data dh as htfsfat32ext3,have heard good things about ext2 windows driver so you can use ext3 partition
you can use synergy to control both desktops,look into synergy
clamav,thanks i'll google that any others i'm after the most reiable perhaps even paranoid scan enginedatabase
hey all,need some help with a bizarre problem i'm having
anyone have experience using freenx,yes
how do i revert to the old grub 198 from grub 2,grub 198 is grub2
what file are you editing with what editor,i am editing a simple 20 line python program using gedit
kde,its hard to say
they can its called the installer,you don't
hi how do i make audacious open all mp3 files instead of music box setting audacious by default,right click an mp3 file and go to properties
he's not in here,thankssad
hi,guten abend kennt sich jemandt mit soundkarten aus
connect to server,ssh tunnel the correct port 5900 iirc then use remote desktop
falcons eye,i don't like the camera angle on falcons
don't think so,thanks
ask in ubuntu1,1004 was released in april so it's been out for a few weeks now
lsof,thanks you said that just as i found it
does any one know how to install mindguard on linux mint,check mintsupport
it allows you to fix mistaks using root in the command line,is there a rescue mode on the feisty fawn live cd
does ubuntu have font problems,noone will answer me
the ppl in compizfusion probably can,just type join compizfusion
hi every body,is any one here
what is this room about,it's this cool game called ubuntu p
not stupid at allthere is no root passwd,use the sudo command with your own passwd
910 apctr,ya i'm using 910becoz i have created a local repository for that one
i have him in compizfusion,seems a bit overkill for one userbut i guess that depends what you're doing with your box
sorry but im kinda frustrated,if you uninstall fglrx it should revert to the open drivers
hello,is there something wrong to enable root user disable sudo and use root as it is used in other distros
i m new here,welcome
is p3 500 256mb ram enough to make ubuntu run nicely,itll run
no need to compile anything,there are experimental new drivers
sorry couldn't resist it,that's not really a solution in an enterprise network
whenever i change the time on the ubuntu system when i go back to windows it's like 3 hours ahead,yeah windows likes to assume that the local clock is in the local time zone not utc
sorry what was the command to get mdf2iso again,whats the command to get mdf2iso
i reformatted my windows drive to ubuntu,congratulations
anybody would know what the best channel would be to get info about hugin,hugin is listed on the network
hello guys,could someone help me with running php script
this is xchat,this is the ubuntu channel xchat is just a client to connect to it
so how do i download the kxdocker from the terminal,will it download all it dependecnies as well
can someone tell me another way,another way to what
does anyone know how i can print to a networked printer,you have to use samba to map iti dont' have any windows pc's on my network so i cant' try
httpwwwubuntuforumsorg search for automatix,anything else ask again but be more specific
is there a way i could force a drive that wont umount,add l to the umount command
what causes some programs to just shut down,for no apparent reason
how do i restart a daemon restart syslogd,etcinitdservice restart
illegal,no
does anyone know how can i collect information of a usb 3g modem,thanks
gunzip filename to unzip,try using unzip
ubuntueffects is gone,what do you mean from the login window selection
are you serious,i am
thanks,np you better get used to it its happening fairly often recently
can someone help,this is the official ubuntu download right httptorrentubuntucom6969 and this one doesnt work for me ubuntu904netbookremixi386img
danbhfive hmm,allow you to
sudo dpkgreconfigure phigh xserverxorg,then reactivate the nvidia drivers if needed
i want a big ass,just sit in a comfortable chair all day eating pizza you will get there
magicus inside,ssh userservername
